Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,3,0,3,0,,,,,3,0,0,,3,,2,0,,,,2,,0,0,0,2,,17,,,,3,,,,14,,,7,2,0,,,,,,,4,9,7,,,2,,,,,,,,1,1,1,1,,,0,,,,0.00,2,2,2,2
Class,"String",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,0,0,0,0,0,0,,3,,,,1,,,,2,,,1,0,0,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0.00,0,0,0,0
Public Class,"TestingIO",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,,,,1,1,0,0,0,1,,5,,,,0,,,,5,,,2,1,0,,,,,,,1,3,2,,,1,,,,,,,,1,1,1,1,,1,0,,0,0,0.00,1,1,1,1
Public Constructor,"TestingIO.TestingIO()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,"TestingLog4j",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,,,,1,1,0,0,0,1,,5,,,,0,,,,5,,,2,1,0,,,,,,,1,3,2,,,1,,,,,,,,1,1,1,1,,1,0,,0,0,0.00,1,1,1,1
Public Constructor,"TestingLog4j.TestingLog4j()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
File,"buildSrc\formatterConfig.xml",0,0,0,0,362,0,362,0,,,,,0,,,0,,0,,,,,,,,,,,,,362,0,0,0,0,0,0,0,362,0,0,,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.00,0,0,0,0
File,"buildSrc\reaper\src\main\java\org\elasticsearch\gradle\reaper\Reaper.java",2,2,2,1,9,0,9,0,,,,,1,1,0,7,,7,5,2,,,,6,,0,4,0,2,,128,,,,13,,,,79,,,27,42,37,,,,,,,42,59,27,,,32,,,,,,,,4,4,4,1,,,3,,,,0.47,15,15,15,7
File,"buildSrc\src\integTest\java\org\elasticsearch\gradle\BuildPluginIT.java",1,1,1,1,12,0,12,0,,,,,1,0,0,7,,7,6,1,,,,6,,0,1,0,5,,134,,,,15,,,,99,,,47,61,22,,,,,,,54,66,44,,,22,,,,,,,,3,3,3,3,,,2,,,,0.22,9,9,9,9
File,"buildSrc\src\integTest\java\org\elasticsearch\gradle\ExportElasticsearchBuildResourcesTaskIT.java",1,1,1,1,8,1,7,0,,,,,1,0,1,3,,3,3,0,,,,3,,0,0,0,3,,57,,,,10,,,,29,,,10,18,18,,,,,,,18,22,10,,,12,,,,,,,,1,1,1,1,,,0,,,,0.62,3,3,3,3
